epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.44443,1.37376,2.14884,1.1388,0.96269,0.91077,0.95626,0.354,2.10047,2.11449,1.30218,0.000658824,0.000658824,0.000658824
2,18.3574,1.18192,1.19728,1.08454,0.99731,0.97647,0.99412,0.58955,1.33779,0.84625,1.00014,0.00129925,0.00129925,0.00129925
3,27.1851,1.26235,1.02016,1.11355,1,0.99758,0.995,0.43432,1.84381,0.83394,1.16117,0.00191327,0.00191327,0.00191327
4,35.9963,1.13756,0.82578,1.06776,1,0.99906,0.995,0.70589,1.0357,0.60906,0.89034,0.0018812,0.0018812,0.0018812
5,44.7468,1.18445,0.76263,1.07776,0.94011,0.98824,0.99062,0.74082,1.0513,0.70118,0.92399,0.0018416,0.0018416,0.0018416
6,53.5086,1.08704,0.69434,1.05569,0.98821,0.98625,0.99406,0.71011,0.98605,0.61929,0.87924,0.001802,0.001802,0.001802
7,62.2885,1.07888,0.65251,1.04605,0.93239,1,0.98929,0.73245,0.93248,0.57653,0.87954,0.0017624,0.0017624,0.0017624
8,71.0413,1.03436,0.61095,1.02693,0.99368,1,0.995,0.77221,0.91852,0.54925,0.86183,0.0017228,0.0017228,0.0017228
9,79.9145,1.0021,0.58955,1.01578,0.98733,1,0.995,0.75828,0.90952,0.52276,0.86178,0.0016832,0.0016832,0.0016832
10,88.685,1.01289,0.59005,1.01809,0.96152,0.96471,0.98224,0.70875,1.02916,0.56391,0.90449,0.0016436,0.0016436,0.0016436
11,97.4665,0.9597,0.54051,0.99487,0.98626,1,0.99477,0.72224,0.98365,0.45416,0.87316,0.001604,0.001604,0.001604
12,106.242,0.97206,0.54984,1.00431,0.98837,0.99963,0.99488,0.76597,0.83562,0.45399,0.84073,0.0015644,0.0015644,0.0015644
13,114.988,0.94398,0.52087,0.9864,0.9982,1,0.995,0.74409,0.9943,0.46173,0.86744,0.0015248,0.0015248,0.0015248
14,123.728,0.91872,0.51038,0.9807,0.99813,1,0.995,0.75357,0.9215,0.45735,0.85404,0.0014852,0.0014852,0.0014852
15,132.495,0.92594,0.50464,0.99356,0.99917,1,0.995,0.64914,1.22664,0.50166,0.90657,0.0014456,0.0014456,0.0014456
16,141.275,0.88779,0.49214,0.97613,0.99835,1,0.995,0.78999,0.84829,0.44906,0.86281,0.001406,0.001406,0.001406
17,150.149,0.89027,0.4774,0.97163,0.99899,1,0.995,0.78118,0.81993,0.4059,0.83575,0.0013664,0.0013664,0.0013664
18,158.898,0.8701,0.48019,0.97139,0.99753,1,0.995,0.81027,0.7802,0.39923,0.83786,0.0013268,0.0013268,0.0013268
19,167.667,0.86586,0.46565,0.96494,1,0.99952,0.995,0.74845,0.98116,0.43788,0.8714,0.0012872,0.0012872,0.0012872
20,176.424,0.86381,0.47002,0.96725,0.98822,0.98692,0.99442,0.77637,0.84108,0.43376,0.85218,0.0012476,0.0012476,0.0012476
21,185.191,0.86053,0.46211,0.96587,0.99924,1,0.995,0.74354,0.94122,0.40461,0.85842,0.001208,0.001208,0.001208
22,193.962,0.82529,0.4452,0.94961,0.98628,1,0.99488,0.77283,0.84488,0.45086,0.86066,0.0011684,0.0011684,0.0011684
23,202.727,0.833,0.45142,0.95075,0.99892,1,0.995,0.80546,0.78899,0.36893,0.82178,0.0011288,0.0011288,0.0011288
24,211.61,0.8042,0.43977,0.95079,0.99926,1,0.995,0.80826,0.75577,0.37572,0.82492,0.0010892,0.0010892,0.0010892
25,220.393,0.78497,0.43288,0.93959,0.99924,1,0.995,0.79131,0.78097,0.3851,0.82123,0.0010496,0.0010496,0.0010496
26,229.139,0.7889,0.42402,0.93749,0.99925,1,0.995,0.81807,0.77794,0.36385,0.82647,0.00101,0.00101,0.00101
27,237.902,0.7756,0.42104,0.93737,0.97894,1,0.99384,0.79372,0.79114,0.39746,0.84903,0.0009704,0.0009704,0.0009704
28,246.654,0.79006,0.42083,0.94195,0.99912,1,0.995,0.81194,0.76333,0.36296,0.82775,0.0009308,0.0009308,0.0009308
29,255.414,0.77392,0.41395,0.93772,0.99522,1,0.995,0.82108,0.76884,0.36515,0.82131,0.0008912,0.0008912,0.0008912
30,264.194,0.7507,0.40692,0.92777,0.99924,1,0.995,0.82709,0.76253,0.35515,0.81751,0.0008516,0.0008516,0.0008516
31,272.957,0.76315,0.41198,0.933,0.99921,1,0.995,0.83427,0.72079,0.36579,0.80857,0.000812,0.000812,0.000812
32,281.848,0.73572,0.39727,0.92956,0.99784,1,0.995,0.8348,0.69387,0.35241,0.80234,0.0007724,0.0007724,0.0007724
33,290.675,0.72149,0.38887,0.92062,0.99927,1,0.995,0.84078,0.70241,0.3463,0.80778,0.0007328,0.0007328,0.0007328
34,299.46,0.74186,0.39659,0.9251,0.99904,1,0.995,0.81241,0.77058,0.37489,0.81757,0.0006932,0.0006932,0.0006932
35,308.245,0.71885,0.38179,0.92067,0.99874,1,0.995,0.81947,0.70479,0.33227,0.81233,0.0006536,0.0006536,0.0006536
36,317.034,0.70927,0.37962,0.91062,0.99922,1,0.995,0.82865,0.72729,0.34905,0.80437,0.000614,0.000614,0.000614
37,325.794,0.71751,0.37875,0.92216,0.99928,1,0.995,0.83642,0.73611,0.3324,0.80214,0.0005744,0.0005744,0.0005744
38,334.539,0.69035,0.36691,0.90949,0.99912,1,0.995,0.83366,0.68054,0.33838,0.80433,0.0005348,0.0005348,0.0005348
39,343.448,0.68547,0.36334,0.90852,0.99929,1,0.995,0.8211,0.75372,0.33266,0.80159,0.0004952,0.0004952,0.0004952
40,352.201,0.66411,0.35153,0.90094,0.99917,1,0.995,0.8442,0.67935,0.31222,0.79838,0.0004556,0.0004556,0.0004556
41,361.407,0.59166,0.28719,0.86326,0.9992,1,0.995,0.81981,0.72432,0.32994,0.80438,0.000416,0.000416,0.000416
42,370.016,0.57065,0.27932,0.8533,0.99927,1,0.995,0.828,0.73192,0.34265,0.8065,0.0003764,0.0003764,0.0003764
43,378.653,0.58028,0.27881,0.86351,0.9992,1,0.995,0.83402,0.69206,0.33278,0.8022,0.0003368,0.0003368,0.0003368
44,387.276,0.55307,0.27314,0.85031,0.99925,1,0.995,0.8317,0.71369,0.32509,0.80574,0.0002972,0.0002972,0.0002972
45,395.912,0.54372,0.26525,0.85151,0.99927,1,0.995,0.84358,0.71349,0.31595,0.79944,0.0002576,0.0002576,0.0002576
46,404.543,0.53984,0.26355,0.8489,0.99929,1,0.995,0.83594,0.68952,0.32138,0.79513,0.000218,0.000218,0.000218
47,413.283,0.5346,0.26172,0.84779,0.99929,1,0.995,0.83072,0.7308,0.3176,0.81641,0.0001784,0.0001784,0.0001784
48,421.91,0.51933,0.25351,0.84865,0.9993,1,0.995,0.83947,0.71079,0.31142,0.79907,0.0001388,0.0001388,0.0001388
49,430.527,0.51655,0.24944,0.84183,0.99927,1,0.995,0.8482,0.71909,0.32454,0.80158,9.92e-05,9.92e-05,9.92e-05
50,439.357,0.50747,0.24521,0.84367,0.9993,1,0.995,0.84558,0.71027,0.31913,0.79997,5.96e-05,5.96e-05,5.96e-05
